RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)									
									
									
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura						
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Williams Ginecología	Hoffman, &.S.	2008		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	William's Gynecology	Hoffman, &.S.	2016		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Gynecology by Ten Teachers	Kenny & Bickerstaff	2017		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Comprehensive Gynecology	Lobo et al	2016		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Casos Clínicos en Ginecología y Obstetricia	Matorras y Remohi	2011		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Maternal-Fetal Medicine: Principles and Practice	Resnick., C. &.	2013		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Tratado de Ginecología y Obstetricia de la SEGO	Roura y Rodríguez	2017		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Yen & Jaffe's Reproductive Endocrinology: Physiology, Pathophysiology, and Clinical Management	Strauss & Barbieri	2013		0		
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Traumatología, Ortopedia y Medicina Física	Martínez R., A., Erstnes B., G.	2014	3a.	0	0	
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Medicina Familiar y Práctica Ambulatoria	Kopitowski et al	2016	3a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Medicina Ambulatoria del Adulto: Programa de Medicina Familiar y Comunitaria	Montero, L.	2001	1a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Family Practice: Ambulatory Practice and Prevention	Smith & Shimp	2014	6a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Por los Caminos del Sistema Nacional de Salud. Guía para el Paciente Participativo	Burr, C.P.-L.	2011		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Sanford Guide to Antimicrobial Therapy	Gilbert, e.a.	2017		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Reforma Sanitaria Chilena y la Atención Primaria de Salud. Algunos Aspectos Críticos. Centro de Políticas Públicas UC	Montero, J.T.	2010		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Capítulo IV La Integración Curativa-Preventiva. En R.G. Nerio, Integralidad en Acción. Fundamentos y Herramientas de la Medicina Familiar (Págs. 91-104)	Nerio., R.G.	2008		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Elementos para un Diagnóstico Epidemiológico con Enfoque Sociocultural: Guía Básica para Equipos de Salud. Vol. I serie Análisis de Situación de Salud de los Pueblos Indígenas de Chile. Minsal	Oyarce, P.A.	2006		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Situaciones y Tendencias Demográficas, Económicas, Sociales y Culturales en México y el Mundo. En M.A. González Guzmán R, La Salud Pública y el Trabajo en Comunidad	Soto G. Lutzow J,M.A.	2010		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Medicina Familiar y Práctica Ambulatoria	VV.AA.	2016		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia, Y. U.	2011		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Andreoli's and Carpenter's Cecil Essentials of Medicine	Benjamín, I.	2015	9a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	The Washington Manual of Medical Therapeutics	Bhat et al	2016	35a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Oncología Clínica	Cruz Hernández et al	2012	5a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Geriatría	D'Hyver & Gutierrez	2014	3a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Diagnóstico y Tratamientos Quirúrgicos	Doherty, G.M.	2011		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Current Surgical Diagnosis and Treatment	Doherty, G.M.	2015	14a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Manual de Buena Práctica en Cuidados a las Personas Mayores	Gil Gregorio, P	2015	1a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Geriatría para el Médico Familiar	Gutiérrez et al	2012	1a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Ham's Primary Care Geriatrics: A Case-Based Approach	Ham et al	2014	6a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Lecture Notes: Urology	Kaisary et al	2016	7a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Essential Clinical Geriatrics	Kane et al	2013	7a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Step-up to Geriatrics	King & Lipsky	2017		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Manual Oxford de Medicina Interna	Longmore et al	2012		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Geriatría y Gerontología	Marín Larraín PP.	2015	3a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Oxford Case Histories in Geriatric Medicine	Thompson, e.a.	2015		0		
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	COMPLEMENTARIA:	Sabiston Tratado de Cirugía: Fundamentos Biológicos de la Práctica Quirúrgica Moderna	Townsend et al	2013		0		
METODOLOGIA DE LA INVESTIGACION EN SALUD	3	OBLIGATORIA:	Un Sistema de Clasificación de los Diseños de Investigación en Psicología. Anales de Psicología, 1038-1059 (https://dx.doi.org/10.6018/analesps.29.3.178511)	Ato, M.L.	2013		0	0	
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	OBLIGATORIA:	Williams Gynecology	Bradshaw, Karen D., Corton, Marlene M., Halvorson, Lisa M., Hoffman, Barbara L., Schaffer, Marlene., & Schorge, John O.	2016	3a.	0	0	
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	OBLIGATORIA:	Williams Obstetrics and Jodi	Dashe, K.	2014		0	0	
INTERNADO DE PEDIATRIA	14	COMPLEMENTARIA:	El libro Verde de Pediatría. Manual de Diagnóstico y Terapéutica en Pediatría	Guerrero, F.e.	2017		0		
INTERNADO DE PEDIATRIA	14	COMPLEMENTARIA:	Manual de Pediatría en Atención Primaria: Un Enfoque Multidisciplinar	Pérez, P.e.	2014		0		
INTERNADO DE PEDIATRIA	14	COMPLEMENTARIA:	Atlas de Pediatría de Emergencias	Shah, e.a.	2014		0		
INTERNADO DE PEDIATRIA	14	COMPLEMENTARIA:	The Washington Manual of  Pediatrics	White, A.	2016		0		
INTERNADO DE PEDIATRIA	14	COMPLEMENTARIA:	Atlas of Pediatric Physical Diagnosis	Zitelli, e.a.	2012		0		
